stdg_Cd,bjd_Nm,posifertca_Fachs1_Area,posifertca_Fachs2_Area,posifertca_Fachs3_Area,posifertca_Fachs4_Area,posifertca_Fachs5_Area,posifertca_Fachs6_Area,posifertca_Fruit1_Area,posifertca_Fruit2_Area,posifertca_Fruit3_Area,posifertca_Fruit4_Area,posifertca_Fruit5_Area,posifertca_Fruit6_Area,posifertca_Pfld1_Area,posifertca_Pfld2_Area,posifertca_Pfld3_Area,posifertca_Pfld4_Area,posifertca_Pfld5_Area,posifertca_Pfld6_Area,posifertca_Rfld1_Area,posifertca_Rfld2_Area,posifertca_Rfld3_Area,posifertca_Rfld4_Area,posifertca_Rfld5_Area,posifertca_Rfld6_Area
4824036022,경상남도 사천시 곤명면 용산리,-,-,-,-,-,-,0,0,0,1,0,2,1,1,0,0,0,5,0,3,2,4,3,11
4824036023,경상남도 사천시 곤명면 조장리,0,0,1,1,3,15,-,-,-,-,-,-,1,1,1,2,2,6,3,12,16,14,7,6
4824036024,경상남도 사천시 곤명면 봉계리,0,0,1,1,1,6,0,0,0,0,0,1,1,1,0,0,2,11,1,7,16,15,10,8
4824036026,경상남도 사천시 곤명면 삼정리,0,0,0,0,1,4,0,0,0,0,1,0,4,3,3,1,1,9,2,9,12,12,9,11
4824036028,경상남도 사천시 곤명면 마곡리,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,1,1,4,8,17,16,11,12
4824036029,경상남도 사천시 곤명면 성방리,0,0,0,0,2,3,0,4,0,0,0,0,10,3,2,2,2,1,1,6,12,13,9,10
4825012000,경상남도 김해시 안동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4825010200,경상남도 김해시 서상동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4825010300,경상남도 김해시 부원동,0,0,0,0,0,1,-,-,-,-,-,-,0,0,0,0,0,1,0,0,3,7,5,28
4481025028,충청남도 예산군 예산읍 관작리,0,0,0,0,0,6,0,0,0,1,0,2,0,0,0,1,1,12,0,2,3,3,2,7
4481025029,충청남도 예산군 예산읍 창소리,0,1,2,2,0,28,0,0,0,0,1,1,1,1,1,3,3,26,0,1,2,2,1,9
4481025030,충청남도 예산군 예산읍 신례원리,0,0,0,1,2,25,0,2,0,2,0,2,0,1,1,3,3,16,0,1,6,6,4,14
4481025032,충청남도 예산군 예산읍 궁평리,0,0,0,0,0,2,-,-,-,-,-,-,1,1,1,1,1,2,1,5,9,8,7,44
4773046034,경상북도 의성군 안평면 창길리,0,0,0,0,0,6,2,1,1,2,7,24,0,0,1,1,1,9,0,0,0,0,0,1
4773046035,경상북도 의성군 안평면 괴산리,-,-,-,-,-,-,8,4,8,5,9,22,0,0,0,1,0,3,0,0,0,0,0,1
4723025037,경상북도 영천시 금호읍 원기리,0,0,0,0,0,2,1,2,4,3,2,5,0,0,1,1,2,12,-,-,-,-,-,-
4723025038,경상북도 영천시 금호읍 신대리,0,0,1,1,1,5,3,7,7,8,15,24,1,4,3,9,12,34,0,0,0,0,1,0
4723025039,경상북도 영천시 금호읍 남성리,0,0,0,0,0,1,1,2,2,2,8,4,2,4,4,3,4,12,-,-,-,-,-,-
4723025041,경상북도 영천시 금호읍 황정리,0,1,1,2,2,1,4,6,10,12,15,11,1,7,12,13,6,32,-,-,-,-,-,-
4723031021,경상북도 영천시 청통면 호당리,-,-,-,-,-,-,1,2,3,3,6,7,2,1,2,2,2,4,-,-,-,-,-,-
4723031022,경상북도 영천시 청통면 우천리,-,-,-,-,-,-,0,0,0,0,0,2,0,0,0,1,1,7,-,-,-,-,-,-
4723031024,경상북도 영천시 청통면 신덕리,-,-,-,-,-,-,1,0,1,1,1,2,0,0,1,1,1,3,-,-,-,-,-,-
4723025030,경상북도 영천시 금호읍 관정리,0,0,2,2,2,7,4,2,6,5,8,11,0,4,8,6,14,40,-,-,-,-,-,-
4723025031,경상북도 영천시 금호읍 구암리,0,0,0,0,0,1,0,2,2,2,3,11,0,0,0,1,4,26,1,0,0,0,0,1
4723025033,경상북도 영천시 금호읍 대곡리,-,-,-,-,-,-,0,0,4,1,1,3,1,1,1,3,4,29,-,-,-,-,-,-
4723025034,경상북도 영천시 금호읍 호남리,0,0,0,0,0,1,0,2,1,2,4,11,0,2,1,1,2,9,-,-,-,-,-,-
4723033033,경상북도 영천시 화산면 유성리,0,0,0,0,0,2,0,1,1,5,9,14,0,1,3,7,7,21,1,2,1,0,0,1
4825036000,경상남도 김해시 상동면,1,2,3,1,1,66,16,4,2,11,3,4,58,25,52,52,17,28,7,22,31,32,28,31
4825034025,경상남도 김해시 한림면 용덕리,-,-,-,-,-,-,0,0,1,0,4,1,0,0,3,4,4,11,0,0,1,2,4,27
4825034026,경상남도 김해시 한림면 안곡리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,6,4,1,0,0,8,17,12,5,4
4825034028,경상남도 김해시 한림면 장방리,-,-,-,-,-,-,1,0,1,0,0,1,0,0,12,25,9,31,1,2,1,10,26,234
4825034029,경상남도 김해시 한림면 시산리,0,0,0,0,0,6,-,-,-,-,-,-,0,0,2,19,34,84,0,1,2,10,23,187
4825032000,경상남도 김해시 주촌면,1,0,0,1,2,14,14,5,7,1,20,11,8,0,7,55,56,53,4,9,11,18,31,52
4825032022,경상남도 김해시 주촌면 원지리,0,0,0,1,1,6,1,3,7,0,14,3,0,0,0,3,2,10,2,2,3,5,5,6
4825032023,경상남도 김해시 주촌면 덕암리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,1,1,1,2,1,3
4423032032,충청남도 논산시 광석면 율리,0,1,0,1,3,28,35,8,17,19,23,96,3,3,6,9,7,30,117,11,31,6,4,70
4423032033,충청남도 논산시 광석면 오강리,0,0,0,0,0,5,2,1,1,0,1,2,1,2,3,3,1,6,34,3,15,10,5,11
4423033021,충청남도 논산시 노성면 읍내리,1,0,1,3,2,6,7,1,0,0,6,13,4,10,7,6,2,8,8,4,11,5,4,3
4423033022,충청남도 논산시 노성면 두사리,-,-,-,-,-,-,-,-,-,-,-,-,9,9,2,2,3,2,2,0,1,2,1,2
4423033023,충청남도 논산시 노성면 송당리,1,0,0,0,1,4,0,0,0,0,0,2,10,3,5,1,4,8,9,1,1,10,1,1
4423033025,충청남도 논산시 노성면 하도리,1,2,4,10,13,36,0,0,0,1,0,0,1,7,6,3,3,6,22,13,17,12,15,14
4721039030,경상북도 영주시 부석면 보계리,1,0,1,2,1,0,10,8,17,21,31,43,8,14,29,32,27,22,6,5,24,9,3,1
4723025036,경상북도 영천시 금호읍 오계리,-,-,-,-,-,-,1,2,6,12,31,24,9,4,6,5,6,13,-,-,-,-,-,-
4889041000,경상남도 합천군 대양면,1,0,2,3,6,17,0,0,0,2,0,0,4,6,10,20,20,45,13,16,24,28,26,43
4889041021,경상남도 합천군 대양면 정양리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,0,1
4889041022,경상남도 합천군 대양면 아천리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,1,2,2,1,1,1,1,2
4889041024,경상남도 합천군 대양면 무곡리,0,0,0,1,0,2,-,-,-,-,-,-,0,2,2,4,2,5,4,4,3,5,4,7
