stdg_Cd,bjd_Nm,alfisols_Area,andisols_Area,entisols_Area,etc_Area,histosols_Area,inceptisols_Area,mollisols_Area,ultisols_Area
4824036022,경상남도 사천시 곤명면 용산리,0,0,0,8,0,422,0,0
4824036023,경상남도 사천시 곤명면 조장리,0,0,0,11,0,279,0,0
4824036024,경상남도 사천시 곤명면 봉계리,5,0,1,14,0,417,0,0
4824036026,경상남도 사천시 곤명면 삼정리,55,0,0,2,0,143,0,170
4824036028,경상남도 사천시 곤명면 마곡리,16,0,0,6,0,603,0,5
4824036029,경상남도 사천시 곤명면 성방리,0,0,1,10,0,760,0,0
4825012000,경상남도 김해시 안동,62,0,26,9,0,118,0,13
4825010200,경상남도 김해시 서상동,0,0,0,0,0,28,0,0
4825010300,경상남도 김해시 부원동,32,0,0,10,0,144,0,14
4825010500,경상남도 김해시 대성동,2,0,3,2,0,37,0,12
4481025028,충청남도 예산군 예산읍 관작리,63,0,174,8,0,180,0,2
4481025029,충청남도 예산군 예산읍 창소리,73,0,3,7,0,153,0,5
4481025030,충청남도 예산군 예산읍 신례원리,61,0,67,0,0,230,0,0
4481025032,충청남도 예산군 예산읍 궁평리,62,0,3,7,0,123,0,0
4773046034,경상북도 의성군 안평면 창길리,12,0,427,12,0,490,0,0
4773046035,경상북도 의성군 안평면 괴산리,17,0,25,8,0,557,0,0
4723025037,경상북도 영천시 금호읍 원기리,58,0,8,4,0,21,0,0
4723025038,경상북도 영천시 금호읍 신대리,64,0,119,37,0,25,0,0
4723025039,경상북도 영천시 금호읍 남성리,6,0,15,15,0,321,0,0
4723025041,경상북도 영천시 금호읍 황정리,42,0,73,45,0,81,0,0
4723031021,경상북도 영천시 청통면 호당리,79,0,10,22,0,260,0,0
4723031022,경상북도 영천시 청통면 우천리,0,0,6,13,0,457,0,0
4723031024,경상북도 영천시 청통면 신덕리,8,0,0,8,0,479,0,0
4723025030,경상북도 영천시 금호읍 관정리,63,0,11,20,0,47,0,0
4723025031,경상북도 영천시 금호읍 구암리,18,0,2,38,0,428,0,0
4723025033,경상북도 영천시 금호읍 대곡리,26,0,0,8,0,252,0,0
4723025034,경상북도 영천시 금호읍 호남리,23,0,0,42,0,230,0,0
4723033033,경상북도 영천시 화산면 유성리,98,0,17,17,0,258,0,0
4825036000,경상남도 김해시 상동면,160,0,307,379,0,5607,0,420
4825034025,경상남도 김해시 한림면 용덕리,3,0,0,6,0,286,0,39
4825034026,경상남도 김해시 한림면 안곡리,15,0,16,5,0,393,0,90
4825034028,경상남도 김해시 한림면 장방리,110,0,0,81,0,524,0,0
4825034029,경상남도 김해시 한림면 시산리,17,0,100,267,0,366,0,0
4825032000,경상남도 김해시 주촌면,262,0,112,85,0,2141,0,526
4825032022,경상남도 김해시 주촌면 원지리,10,0,20,11,0,443,0,116
4825032023,경상남도 김해시 주촌면 덕암리,17,0,9,7,0,396,0,70
4423032032,충청남도 논산시 광석면 율리,60,0,0,0,0,187,0,0
4423032033,충청남도 논산시 광석면 오강리,40,0,1,0,0,132,0,0
4423033021,충청남도 논산시 노성면 읍내리,2,0,5,1,0,315,0,1
4423033022,충청남도 논산시 노성면 두사리,0,0,0,0,0,119,0,0
4423033023,충청남도 논산시 노성면 송당리,9,0,47,5,0,259,0,3
4423033025,충청남도 논산시 노성면 하도리,1,0,6,12,0,297,0,0
4721039030,경상북도 영주시 부석면 보계리,4,0,0,0,0,773,0,1
4723025036,경상북도 영천시 금호읍 오계리,88,0,8,11,0,118,0,0
4889041000,경상남도 합천군 대양면,41,0,109,177,0,5373,0,0
4889041021,경상남도 합천군 대양면 정양리,7,0,11,91,0,291,0,0
4889041022,경상남도 합천군 대양면 아천리,0,0,0,33,0,380,0,0
4889041024,경상남도 합천군 대양면 무곡리,1,0,95,13,0,633,0,0
4889041025,경상남도 합천군 대양면 덕정리,6,0,0,9,0,383,0,0
4825033025,경상남도 김해시 진례면 신안리,8,0,24,24,0,596,0,146
4825033026,경상남도 김해시 진례면 산본리,39,0,14,13,0,454,0,44
4825033027,경상남도 김해시 진례면 신월리,3,0,81,4,0,146,0,6
4825033029,경상남도 김해시 진례면 담안리,130,0,7,13,0,238,0,44
4825034000,경상남도 김해시 한림면,317,0,254,527,0,4348,0,480
4825034021,경상남도 김해시 한림면 명동리,7,0,1,11,0,402,0,27
4825034023,경상남도 김해시 한림면 병동리,10,0,0,11,0,452,0,60
4418039025,충청남도 보령시 미산면 늑전리,7,0,0,16,0,403,0,0
4418039026,충청남도 보령시 미산면 도흥리,3,0,0,0,0,915,0,0
4418039027,충청남도 보령시 미산면 봉성리,5,0,0,6,0,361,0,0
4418039029,충청남도 보령시 미산면 은현리,2,0,0,0,0,260,0,0
4418039030,충청남도 보령시 미산면 내평리,2,0,0,4,0,336,0,0
4423033026,충청남도 논산시 노성면 죽림리,66,0,14,0,0,172,0,24
4423032024,충청남도 논산시 광석면 갈산리,122,0,0,0,0,241,0,0
4423032025,충청남도 논산시 광석면 광리,63,0,0,0,0,72,0,0
4423032027,충청남도 논산시 광석면 산동리,105,0,10,0,0,129,0,0
4423032029,충청남도 논산시 광석면 왕전리,0,0,5,3,0,268,0,0
4423032030,충청남도 논산시 광석면 항월리,1,0,9,7,0,272,0,2
4717035030,경상북도 안동시 일직면 조탑리,19,0,18,33,0,638,0,0
4717034027,경상북도 안동시 풍천면 금계리,29,0,0,8,0,712,0,0
4717034028,경상북도 안동시 풍천면 구호리,17,0,2,12,0,476,0,0
4717034029,경상북도 안동시 풍천면 어담리,102,0,16,8,0,1500,0,0
4717034031,경상북도 안동시 풍천면 가곡리,0,0,75,21,0,327,0,0
4717034033,경상북도 안동시 풍천면 하회리,18,0,54,95,0,404,0,0
4717035000,경상북도 안동시 일직면,367,0,1194,341,0,6668,0,2
4717035021,경상북도 안동시 일직면 귀미리,65,0,48,64,0,647,0,0
4717035023,경상북도 안동시 일직면 망호리,65,0,31,14,0,300,0,0
4723010100,경상북도 영천시 조교동,138,0,44,36,0,12,0,0
4723010300,경상북도 영천시 야사동,72,0,4,5,0,160,0,0
4723010500,경상북도 영천시 문외동,15,0,4,0,0,44,0,0
4721035032,경상북도 영주시 안정면 대평리,8,0,3,7,0,135,0,6
4721035033,경상북도 영주시 안정면 오계리,19,0,20,7,0,477,0,29
4777032042,경상북도 영덕군 남정면 사암리,33,0,0,3,0,937,0,4
4687037026,전라남도 영광군 법성면 입암리,60,0,0,22,0,278,0,0
4687037028,전라남도 영광군 법성면 월산리,15,0,0,10,0,200,0,115
4678033026,전라남도 보성군 겸백면 용산리,4,0,0,32,0,405,0,0
4688040030,전라남도 장성군 북하면 동현리,0,0,38,101,0,197,0,0
4688025036,전라남도 장성군 장성읍 용곡리,5,0,327,147,0,124,0,0
3171025600,울산광역시 울주군 온양읍,141,0,188,124,0,4771,0,1226
