stdg_Cd,bjd_Nm,om_Fachs1_Area,om_Fachs2_Area,om_Fachs3_Area,om_Fachs4_Area,om_Fachs5_Area,om_Fachs6_Area,om_Fruit1_Area,om_Fruit2_Area,om_Fruit3_Area,om_Fruit4_Area,om_Fruit5_Area,om_Fruit6_Area,om_Pfld1_Area,om_Pfld2_Area,om_Pfld3_Area,om_Pfld4_Area,om_Pfld5_Area,om_Pfld6_Area,om_Rfld1_Area,om_Rfld2_Area,om_Rfld3_Area,om_Rfld4_Area,om_Rfld5_Area,om_Rfld6_Area
4824036022,경상남도 사천시 곤명면 용산리,-,-,-,-,-,-,0,0,0,2,1,0,0,0,1,1,2,4,0,1,7,6,2,6
4824036024,경상남도 사천시 곤명면 봉계리,0,3,3,1,1,0,0,1,0,0,0,0,0,2,3,2,3,5,0,20,27,8,1,0
4824036026,경상남도 사천시 곤명면 삼정리,0,1,1,1,1,0,0,0,1,0,0,0,0,4,10,3,2,3,1,32,19,3,0,0
4824036028,경상남도 사천시 곤명면 마곡리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,2,3,0,0,2,20,33,10,2,0
4824036029,경상남도 사천시 곤명면 성방리,1,2,2,1,0,0,0,4,0,0,0,0,0,7,3,2,3,4,1,21,19,7,3,1
4825012000,경상남도 김해시 안동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4825010200,경상남도 김해시 서상동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4825010300,경상남도 김해시 부원동,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,0,1,0,4,19,18,1,1
4481025028,충청남도 예산군 예산읍 관작리,0,0,1,3,1,1,0,1,1,0,0,1,1,1,5,4,1,2,0,4,8,4,1,0
4481025029,충청남도 예산군 예산읍 창소리,0,7,15,8,2,0,0,2,1,0,0,0,1,6,17,8,2,0,0,3,7,3,0,0
4481025030,충청남도 예산군 예산읍 신례원리,1,4,6,14,2,0,2,2,2,0,0,0,3,7,8,4,1,0,0,11,18,4,0,0
4481025032,충청남도 예산군 예산읍 궁평리,0,0,0,1,0,0,-,-,-,-,-,-,1,2,1,1,0,0,2,22,43,7,0,0
4773046034,경상북도 의성군 안평면 창길리,0,1,4,0,1,0,6,20,8,2,0,0,0,4,6,2,0,0,-,-,-,-,-,-
4773046035,경상북도 의성군 안평면 괴산리,-,-,-,-,-,-,15,24,11,3,3,0,0,1,1,1,1,1,-,-,-,-,-,-
4723025037,경상북도 영천시 금호읍 원기리,0,0,0,1,0,1,1,3,7,2,3,1,0,6,6,5,0,0,-,-,-,-,-,-
4723025038,경상북도 영천시 금호읍 신대리,0,1,3,2,1,1,4,14,21,12,6,6,2,13,25,16,6,2,0,0,1,0,0,0
4723025039,경상북도 영천시 금호읍 남성리,-,-,-,-,-,-,1,2,4,8,3,2,0,17,11,1,0,0,-,-,-,-,-,-
4723025041,경상북도 영천시 금호읍 황정리,0,1,3,1,1,0,5,12,19,12,4,6,16,20,29,5,1,0,-,-,-,-,-,-
4723031021,경상북도 영천시 청통면 호당리,-,-,-,-,-,-,0,2,7,7,2,3,1,4,3,1,1,3,-,-,-,-,-,-
4723031022,경상북도 영천시 청통면 우천리,-,-,-,-,-,-,0,0,1,0,0,1,2,5,2,0,0,0,-,-,-,-,-,-
4723031024,경상북도 영천시 청통면 신덕리,-,-,-,-,-,-,1,1,2,1,0,0,0,3,2,1,0,0,-,-,-,-,-,-
4723025030,경상북도 영천시 금호읍 관정리,0,1,5,4,1,1,1,5,13,10,6,1,10,23,24,3,6,8,-,-,-,-,-,-
4723025031,경상북도 영천시 금호읍 구암리,0,0,0,1,0,0,1,2,7,8,0,2,4,14,10,3,0,0,0,0,0,0,0,1
4723025033,경상북도 영천시 금호읍 대곡리,-,-,-,-,-,-,0,5,2,3,0,0,10,19,5,4,1,0,-,-,-,-,-,-
4723025034,경상북도 영천시 금호읍 호남리,0,0,0,1,0,0,2,3,6,5,1,2,3,4,5,2,0,0,-,-,-,-,-,-
4723033033,경상북도 영천시 화산면 유성리,0,0,0,1,0,1,2,6,12,7,2,3,1,10,17,4,2,5,1,1,2,1,0,0
4825036000,경상남도 김해시 상동면,5,8,54,7,1,0,3,6,19,6,1,4,31,107,51,19,5,19,55,69,24,3,0,0
4825034025,경상남도 김해시 한림면 용덕리,-,-,-,-,-,-,1,4,0,0,0,0,0,10,7,5,0,0,0,16,16,3,0,0
4825034026,경상남도 김해시 한림면 안곡리,-,-,-,-,-,-,-,-,-,-,-,-,0,4,4,3,0,0,0,14,29,4,0,0
4825034028,경상남도 김해시 한림면 장방리,-,-,-,-,-,-,0,2,1,0,0,0,1,36,22,19,1,0,3,78,183,10,1,0
4825034029,경상남도 김해시 한림면 시산리,0,3,2,1,0,0,-,-,-,-,-,-,1,25,59,53,1,0,8,103,101,11,1,0
4825032000,경상남도 김해시 주촌면,1,2,5,6,2,2,1,7,24,5,15,6,2,84,85,5,3,2,1,39,73,12,0,0
4825032022,경상남도 김해시 주촌면 원지리,0,1,3,3,1,0,1,1,9,0,14,3,0,4,12,1,0,0,0,9,11,2,0,0
4825032023,경상남도 김해시 주촌면 덕암리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,3,4,0,0,0
4423032032,충청남도 논산시 광석면 율리,1,7,16,7,1,0,28,66,48,34,12,9,3,13,21,16,4,2,1,59,134,31,1,14
4423032033,충청남도 논산시 광석면 오강리,0,0,1,1,4,0,1,3,1,2,0,0,1,7,6,2,0,0,1,13,34,16,2,13
4423033021,충청남도 논산시 노성면 읍내리,4,4,4,1,0,1,7,1,7,3,8,2,12,8,11,5,1,1,8,9,11,8,0,0
4423033022,충청남도 논산시 노성면 두사리,-,-,-,-,-,-,-,-,-,-,-,-,19,6,1,0,0,0,0,3,3,0,1,0
4423033023,충청남도 논산시 노성면 송당리,1,1,3,2,0,0,0,0,2,0,0,0,9,5,13,2,0,1,0,11,7,5,0,0
4423033025,충청남도 논산시 노성면 하도리,4,29,19,9,4,1,0,1,0,0,0,0,11,6,5,2,1,0,4,33,44,12,1,0
4721039030,경상북도 영주시 부석면 보계리,2,4,0,0,0,0,18,45,27,17,13,10,44,43,28,9,4,5,5,34,8,2,0,0
4723025036,경상북도 영천시 금호읍 오계리,-,-,-,-,-,-,15,22,20,8,7,3,2,6,17,15,3,0,-,-,-,-,-,-
4889041000,경상남도 합천군 대양면,0,6,16,6,1,0,0,1,0,0,0,0,4,24,36,21,6,15,3,51,70,21,3,1
4889041021,경상남도 합천군 대양면 정양리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,0,0
4889041022,경상남도 합천군 대양면 아천리,-,-,-,-,-,-,-,-,-,-,-,-,0,2,1,0,0,1,0,1,4,2,1,0
4889041024,경상남도 합천군 대양면 무곡리,0,1,1,1,0,0,-,-,-,-,-,-,1,5,3,2,1,3,0,5,15,6,1,0
4889041025,경상남도 합천군 대양면 덕정리,0,1,1,0,0,0,-,-,-,-,-,-,0,2,8,3,0,2,1,6,6,3,1,0
4825033025,경상남도 김해시 진례면 신안리,0,0,1,1,0,1,-,-,-,-,-,-,0,9,0,0,0,0,1,10,30,29,3,0
4825033026,경상남도 김해시 진례면 산본리,-,-,-,-,-,-,0,1,21,6,6,0,0,15,8,0,0,0,0,8,43,20,2,0
4825033027,경상남도 김해시 진례면 신월리,0,0,0,2,3,3,-,-,-,-,-,-,0,2,1,0,0,0,0,4,64,91,17,0
4825033029,경상남도 김해시 진례면 담안리,0,0,2,3,0,0,0,0,0,0,0,1,0,33,9,0,0,0,7,109,67,6,0,6
4825034000,경상남도 김해시 한림면,0,4,9,4,0,3,1,16,14,1,1,18,2,193,207,149,6,7,26,603,764,74,5,1
4825034021,경상남도 김해시 한림면 명동리,-,-,-,-,-,-,-,-,-,-,-,-,0,15,10,0,0,0,3,11,31,3,0,0
4825034023,경상남도 김해시 한림면 병동리,-,-,-,-,-,-,-,-,-,-,-,-,0,2,5,5,0,0,1,13,17,3,0,0
4418039025,충청남도 보령시 미산면 늑전리,-,-,-,-,-,-,0,0,2,0,0,0,0,11,5,6,0,0,0,3,5,3,1,0
4418039026,충청남도 보령시 미산면 도흥리,-,-,-,-,-,-,5,9,14,0,0,0,0,44,15,9,2,0,1,19,12,6,1,0
4418039027,충청남도 보령시 미산면 봉성리,-,-,-,-,-,-,1,1,7,3,2,1,0,23,22,6,1,0,0,2,6,3,0,0
4418039029,충청남도 보령시 미산면 은현리,0,0,1,0,0,0,2,5,5,4,0,4,0,12,14,5,1,0,1,7,12,2,0,0
4418039030,충청남도 보령시 미산면 내평리,-,-,-,-,-,-,-,-,-,-,-,-,0,4,5,4,2,13,0,4,7,2,0,0
4423033026,충청남도 논산시 노성면 죽림리,1,3,8,5,2,1,6,5,0,0,1,0,7,8,7,4,1,1,5,51,39,8,0,0
4423032024,충청남도 논산시 광석면 갈산리,1,4,2,0,0,0,0,0,3,2,0,0,7,13,6,2,0,0,1,89,102,47,6,3
4423032025,충청남도 논산시 광석면 광리,0,2,8,3,2,0,4,1,1,0,0,0,2,2,1,1,0,0,3,21,78,60,15,0
4423032027,충청남도 논산시 광석면 산동리,2,18,33,14,6,2,-,-,-,-,-,-,0,1,1,2,1,0,3,15,27,30,14,2
4423032029,충청남도 논산시 광석면 왕전리,2,13,45,35,6,0,-,-,-,-,-,-,2,8,4,4,2,1,2,20,43,29,2,1
4423032030,충청남도 논산시 광석면 항월리,3,20,36,10,1,1,0,2,0,0,0,0,5,7,5,2,0,0,1,6,38,4,6,0
4717035030,경상북도 안동시 일직면 조탑리,-,-,-,-,-,-,-,-,-,-,-,-,1,3,2,0,0,0,0,1,1,0,0,0
4717034027,경상북도 안동시 풍천면 금계리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,2,1,0,0,0,4,3,0,0,0
4717034028,경상북도 안동시 풍천면 구호리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,1,0,0,0
4717034029,경상북도 안동시 풍천면 어담리,-,-,-,-,-,-,5,3,0,0,0,0,5,170,1,1,0,0,0,4,6,0,0,0
4717034031,경상북도 안동시 풍천면 가곡리,1,1,0,0,0,0,2,0,0,0,0,0,2,5,1,2,0,0,8,46,7,0,0,1
4717034033,경상북도 안동시 풍천면 하회리,0,1,0,0,0,0,-,-,-,-,-,-,8,3,1,0,0,0,17,223,6,2,0,3
4717035000,경상북도 안동시 일직면,3,3,21,4,5,1,4,20,24,4,4,0,24,67,64,12,10,1,3,19,41,10,3,2
4717035021,경상북도 안동시 일직면 귀미리,-,-,-,-,-,-,0,7,3,0,0,0,1,7,7,3,2,1,0,1,5,1,1,0
4717035023,경상북도 안동시 일직면 망호리,-,-,-,-,-,-,0,2,2,3,2,0,0,15,13,2,1,0,1,3,6,1,0,0
4723010100,경상북도 영천시 조교동,-,-,-,-,-,-,0,2,7,2,2,1,0,0,3,2,1,0,0,1,4,2,1,6
4723010300,경상북도 영천시 야사동,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-
4721035032,경상북도 영주시 안정면 대평리,6,11,8,1,0,0,0,1,1,1,0,0,1,3,3,1,0,0,7,13,2,1,0,1
4721035033,경상북도 영주시 안정면 오계리,1,6,2,1,2,0,1,2,4,0,0,2,13,8,4,1,0,0,19,91,22,5,1,9
4777032042,경상북도 영덕군 남정면 사암리,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,1,0,0,0,2,2,0,0,0
4687037026,전라남도 영광군 법성면 입암리,-,-,-,-,-,-,0,3,0,0,0,0,1,47,9,0,0,0,5,54,6,1,0,0
4687037028,전라남도 영광군 법성면 월산리,0,1,0,1,0,0,4,0,1,0,0,0,18,84,40,1,1,1,13,166,66,4,0,0
4678033026,전라남도 보성군 겸백면 용산리,-,-,-,-,-,-,4,2,4,0,1,1,0,21,27,20,9,1,2,11,26,13,3,9
4688025036,전라남도 장성군 장성읍 용곡리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3171025600,울산광역시 울주군 온양읍,-,-,-,-,-,-,17,20,25,19,7,10,10,37,45,18,8,6,31,137,154,47,4,3
3171025621,울산광역시 울주군 온양읍 발리,-,-,-,-,-,-,15,14,14,7,5,5,0,9,9,3,0,0,2,17,19,6,0,1
3171025623,울산광역시 울주군 온양읍 망양리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,2,0,0,0,3,6,1,0,0
3171025624,울산광역시 울주군 온양읍 남창리,-,-,-,-,-,-,0,0,0,0,0,4,0,1,1,1,0,0,6,12,23,4,0,0
4711131026,경상북도 포항시남구 대송면 송동리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,4,1,0,0
4711131027,경상북도 포항시남구 대송면 제내리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,8,1,0,0
4711132000,경상북도 포항시남구 동해면,1,3,0,0,0,0,-,-,-,-,-,-,6,5,7,4,2,1,1,9,22,15,1,0
4711132022,경상북도 포항시남구 동해면 약전리,1,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,5,1,0
4377033029,충청북도 음성군 맹동면 통동리,0,1,0,0,0,0,-,-,-,-,-,-,1,14,2,3,0,0,0,1,0,0,0,0
4377034000,충청북도 음성군 대소면,35,69,40,11,9,1,30,49,21,4,2,0,247,405,171,51,21,5,197,443,277,57,3,3
4377033027,충청북도 음성군 맹동면 본성리,1,2,0,0,1,0,-,-,-,-,-,-,8,10,2,1,0,0,3,7,5,0,0,0
4161033000,경기도 광주시 도척면,5,9,20,12,6,2,1,4,5,0,0,0,14,33,50,18,11,4,65,201,534,349,94,27
4161033022,경기도 광주시 도척면 유정리,0,1,5,2,0,0,1,1,0,0,0,0,4,6,6,2,2,0,24,59,162,117,51,19
4159025332,경기도 화성시 봉담읍 유리,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,0,0,1,0,0,0,0
4159025300,경기도 화성시 봉담읍,1,3,1,0,0,1,1,5,6,2,0,0,208,58,8,6,7,3,6,50,51,15,0,0
4159025322,경기도 화성시 봉담읍 내리,0,0,0,0,0,1,-,-,-,-,-,-,8,1,2,2,2,2,0,2,5,1,0,0
4159025323,경기도 화성시 봉담읍 수영리,-,-,-,-,-,-,0,3,5,0,0,0,6,1,0,0,0,0,0,0,6,2,0,0
4159025325,경기도 화성시 봉담읍 와우리,-,-,-,-,-,-,-,-,-,-,-,-,3,0,0,0,0,0,-,-,-,-,-,-
4159025326,경기도 화성시 봉담읍 수기리,-,-,-,-,-,-,-,-,-,-,-,-,2,1,0,0,0,0,0,1,0,0,0,0
4159025328,경기도 화성시 봉담읍 왕림리,1,0,0,0,0,0,-,-,-,-,-,-,14,1,0,0,3,0,0,0,1,1,0,0
4159025329,경기도 화성시 봉담읍 세곡리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,3,0,0,0
4691033024,전라남도 신안군 자은면 유천리,-,-,-,-,-,-,-,-,-,-,-,-,4,90,12,0,0,0,1,27,7,2,0,0
4691033025,전라남도 신안군 자은면 유각리,-,-,-,-,-,-,-,-,-,-,-,-,102,109,8,0,0,0,4,36,9,1,0,0
4691033026,전라남도 신안군 자은면 면전리,-,-,-,-,-,-,-,-,-,-,-,-,20,33,0,0,0,0,2,32,7,1,0,0
4691033028,전라남도 신안군 자은면 고장리,-,-,-,-,-,-,-,-,-,-,-,-,53,84,5,0,0,1,8,55,33,1,0,0
4691033029,전라남도 신안군 자은면 구영리,-,-,-,-,-,-,-,-,-,-,-,-,21,100,6,0,0,0,5,47,21,0,0,0
4691034021,전라남도 신안군 비금면 광대리,-,-,-,-,-,-,-,-,-,-,-,-,46,23,1,0,0,0,3,9,0,0,0,0
4691034022,전라남도 신안군 비금면 용소리,-,-,-,-,-,-,-,-,-,-,-,-,17,3,0,0,0,0,9,22,2,0,0,0
4691034024,전라남도 신안군 비금면 가산리,-,-,-,-,-,-,-,-,-,-,-,-,1,28,2,0,0,0,1,7,0,0,0,0
4691034025,전라남도 신안군 비금면 덕산리,-,-,-,-,-,-,-,-,-,-,-,-,5,17,12,2,1,0,9,23,2,1,1,0
4691034027,전라남도 신안군 비금면 구림리,-,-,-,-,-,-,-,-,-,-,-,-,38,5,1,0,0,0,5,12,0,0,0,0
4691034028,전라남도 신안군 비금면 신원리,-,-,-,-,-,-,-,-,-,-,-,-,18,32,8,2,0,0,10,19,0,0,0,0
2644010500,부산광역시 강서구 죽림동,0,1,2,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,12,73,34,28,2,4
2644010600,부산광역시 강서구 식만동,1,4,10,10,3,1,-,-,-,-,-,-,0,0,0,1,0,0,5,39,20,27,5,2
2644010700,부산광역시 강서구 죽동동,2,2,2,3,0,1,-,-,-,-,-,-,0,0,1,0,0,0,14,160,126,101,20,16
2644010800,부산광역시 강서구 봉림동,2,6,15,8,0,0,1,11,5,0,0,0,1,1,5,2,0,0,71,172,92,38,12,6
4159036030,경기도 화성시 팔탄면 덕우리,-,-,-,-,-,-,3,3,0,0,0,0,1,9,4,0,0,0,2,2,1,0,0,0
4159035026,경기도 화성시 서신면 제부리,-,-,-,-,-,-,-,-,-,-,-,-,3,2,0,1,0,0,-,-,-,-,-,-
4159035027,경기도 화성시 서신면 홍법리,-,-,-,-,-,-,6,8,3,1,0,0,1,10,4,1,0,0,0,6,4,0,0,0
4159035029,경기도 화성시 서신면 매화리,-,-,-,-,-,-,2,21,10,2,0,0,48,9,7,2,0,0,0,3,1,1,0,0
4159035030,경기도 화성시 서신면 용두리,-,-,-,-,-,-,3,30,19,4,1,1,2,13,5,2,0,0,1,15,14,1,0,0
4159035032,경기도 화성시 서신면 백미리,-,-,-,-,-,-,2,13,4,1,0,0,0,7,6,1,0,0,0,6,7,1,0,0
4159036000,경기도 화성시 팔탄면,3,12,5,0,1,0,4,8,3,1,1,0,20,57,22,5,2,1,40,206,91,14,1,0
4159036022,경기도 화성시 팔탄면 창곡리,0,2,0,0,1,0,-,-,-,-,-,-,3,5,1,0,0,0,3,25,6,0,0,0
4159036023,경기도 화성시 팔탄면 기천리,-,-,-,-,-,-,-,-,-,-,-,-,2,3,1,0,0,1,1,51,16,2,0,0
4159036025,경기도 화성시 팔탄면 구장리,1,0,0,0,0,0,-,-,-,-,-,-,4,7,2,1,0,0,1,14,15,8,1,0
4159036026,경기도 화성시 팔탄면 율암리,-,-,-,-,-,-,-,-,-,-,-,-,1,4,3,1,1,0,0,3,3,1,0,0
4159036028,경기도 화성시 팔탄면 덕천리,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,0,0,0,0,1,1,0,0,0
4615038029,전라남도 순천시 낙안면 평촌리,0,0,1,1,1,8,-,-,-,-,-,-,-,-,-,-,-,-,0,3,45,19,1,0
4673034024,전라남도 구례군 마산면 황전리,-,-,-,-,-,-,615,1,5,4,1,2,1,14,18,9,11,1,1,8,62,49,6,6
4673034025,전라남도 구례군 마산면 갑산리,-,-,-,-,-,-,3,5,4,4,1,0,0,18,8,1,0,2,2,43,138,72,19,5
